ds,yhat,yhat_lower,yhat_upper
2015-01-03,21.216179983986578,-4.90840275067789,45.54162856679826
2015-01-04,19.228744091556536,-7.472540915864225,44.48615184996205
2015-01-05,15.86343833207744,-11.177442493418804,42.44118608787725
2015-01-06,20.81074605755107,-3.8424566946939973,47.04741136926036
2015-01-07,8.874795983046019,-18.111866992303504,33.391628040805855
2015-01-09,10.103035094161001,-16.524664701584317,36.214048303681835
2015-01-10,15.625690888883032,-10.997439128856023,43.68641328017993
2015-01-11,14.300328678607713,-13.221407367935532,41.674603170450354
2015-01-13,17.234855401160026,-9.168322779976949,43.66739772790458
2015-01-14,5.965606734468189,-17.521508764631808,34.41028871972437
2015-01-15,-4.32822513317664,-30.844576955608186,20.953433052254727
2015-01-16,8.450550715423072,-17.96899218249203,34.823454004982345
2015-01-18,13.733024362351983,-12.685139707483104,40.96989434711241
2015-01-19,11.499310620946037,-13.628592189697224,38.462713944302905
2015-01-20,17.512836504570778,-7.894822578915139,42.581783924627025
2015-01-21,6.56083309489315,-20.120220460913266,32.11284682387035
2015-01-23,9.45261635889653,-15.554329181254069,35.53505280786516
2015-01-26,12.543821313363594,-15.763211545266609,37.36384025068189
2015-01-27,18.432421387899666,-6.744096076420809,45.33133279327139
2015-01-28,7.295744807047125,-18.58899899770549,33.10904572131402
2015-01-30,9.67187213615843,-17.847837140226,36.35132805360457
2015-01-31,15.539412804847878,-10.589652334108756,41.647304675769135
2015-02-01,14.40949664770521,-11.14468009039148,41.739930433599305
2015-02-02,11.772352751327336,-13.829183585711952,39.38406469923325
2015-02-03,17.31640501113289,-8.199175138875512,41.46708404740288
2015-02-04,5.846680679326173,-18.20512371698428,32.013789102242505
2015-02-06,7.633828856697882,-18.21893512190891,33.56539093787238
2015-02-07,13.264975943283417,-13.69704443230972,39.292988168185865
2015-02-08,11.948788867442474,-14.572267883846386,36.94674231609304
2015-02-11,3.1908936742917793,-23.503156333268652,29.19326621503285
2015-02-12,-7.338567807748574,-34.76628806106683,18.565793474041236
2015-02-14,11.027188564481497,-14.915138348631709,36.816911559532656
2015-02-15,9.986108836086203,-17.795402616254027,34.46948613888196
2015-02-16,7.557157653514755,-18.746398185967234,34.665693925813386
2015-02-17,13.428661059435985,-14.713184983009212,38.63341218042463
2015-02-18,2.402652970824736,-24.45228399825703,28.550189003476092
2015-02-20,5.400129510366185,-20.820613283232994,32.737291563441715
2015-02-21,11.778476819418977,-13.488621108981464,36.446751503336635
2015-02-22,11.287403647888068,-15.173642424419693,39.264409350597916
2015-02-23,9.409146525738475,-16.06924195016359,34.29196570237183
2015-02-24,15.821194550345238,-11.13991764563723,42.565561398874095
2015-02-27,9.24972267860038,-15.72552752770712,35.75244136930909
2015-03-01,15.879479811286805,-9.321114020073436,42.37060828462787
2015-03-02,14.28155528534176,-12.501562058481294,39.72772059431558
2015-03-03,20.906406572004784,-5.064950380089658,47.68596578102023
2015-03-04,10.542078405913085,-13.775204748543114,37.78707843254302
2015-03-05,1.0551458935804368,-25.990310819647203,28.518052588772555
2015-03-07,21.24448815611985,-4.967609539731778,46.87906466840668
2015-03-10,25.501302812611673,-1.4235135329816482,51.47066181392127
2015-03-11,14.815982190387608,-13.125242378268762,40.26745227165827
2015-03-14,24.32002388778188,-3.9446746973210964,50.12725541935404
2015-03-15,23.5793906792438,-1.1927902398955368,50.511307859584555
2015-03-16,21.315524714842866,-4.344488548716481,47.79423681475815
2015-03-17,27.21598979735653,1.4876642337206265,53.480880379014536
2015-03-18,16.08460286832116,-12.47417198513248,41.10094516042789
2015-03-19,5.80418317576422,-21.368434980452435,30.10921370237207
2015-03-21,24.39230515678689,-0.7631603278272908,47.67353581725952
2015-03-22,23.32348487650303,-2.5356828997383687,49.39934054423159
2015-03-23,20.77578562630644,-4.419378550643421,47.07210191432239
2015-03-24,26.44041881957258,0.7249815493292645,54.018051028892266
2015-03-25,15.123562034855489,-13.782722402573501,40.812212246461826
2015-03-26,4.709082985024649,-21.523194483538834,31.123347197021648
2015-03-28,23.181028693090603,-2.09905375093402,50.32349493912563
2015-03-29,22.125855538130338,-5.625401945780092,48.76634727421501
2015-03-30,19.634911373210375,-6.951924373497549,46.75958107175621
2015-03-31,25.394626213598297,-3.88968389878849,50.958830733372054
2015-04-01,14.205571899370572,-11.7056250558928,39.73822937871565
2015-04-02,3.945350685696164,-21.03544483880154,28.760518950521764
2015-04-03,16.719883707193407,-9.456649803592171,42.95099575157228
2015-04-04,22.777896469594566,-1.7979718058455385,49.53866137240095
2015-04-05,21.91488075992929,-5.02590028914702,48.05449387271194
2015-04-06,19.614561928050993,-7.761337391805884,47.04781029457616
2015-04-07,25.556587304150295,-1.832759999027162,52.39285083901225
2015-04-08,14.535194174380667,-11.479519303935657,40.30998318275342
2015-04-11,23.469224149333115,-2.7370160104949517,51.5998982046097
2015-04-12,22.666104063077633,-2.9768504087933687,45.99455549673122
2015-04-13,20.390996391977737,-6.799646359041617,47.25693421454277
2015-04-15,15.255023343220037,-9.822903972345877,43.09460966869641
2015-04-16,5.061502578990414,-20.252080287030072,30.82268216097786
2015-04-18,23.85360902785247,-2.322643298912529,47.81797043108615
2015-04-19,22.883398167874624,-1.422431644687362,48.23045685427695
2015-04-20,20.420885096851737,-8.350328368752706,47.16217070215243
2015-04-21,26.150107222121694,-0.39142715591748456,53.277798714042504
